learning_rate,noise_level,lower_x_nodes,lower_y_nodes,higher_nodes,higher_connections,steps,success,bmu_stability,purity
0.1,0.0,7,7,40,146,10000,False,100.0,100.0
0.1,0.16666666666666666,7,7,40,146,10000,False,100.0,100.0
0.1,0.3333333333333333,7,7,40,146,10000,False,100.0,100.0
0.1,0.5,7,7,40,146,10000,False,100.0,100.0
0.01,0.0,7,7,40,145,10000,False,100.0,100.0
0.01,0.16666666666666666,7,7,40,146,10000,False,100.0,100.0
0.01,0.3333333333333333,7,7,40,145,10000,False,100.0,100.0
0.01,0.5,7,7,40,146,10000,False,100.0,100.0
0.001,0.0,7,7,40,145,10000,False,100.0,100.0
0.001,0.16666666666666666,7,7,40,146,10000,False,100.0,100.0
0.001,0.3333333333333333,7,7,40,146,10000,False,100.0,100.0
0.001,0.5,7,7,40,146,10000,False,100.0,100.0
0.0001,0.0,7,7,40,145,10000,False,100.0,100.0
0.0001,0.16666666666666666,7,7,40,146,10000,False,100.0,100.0
0.0001,0.3333333333333333,7,7,40,146,10000,False,100.0,100.0
0.0001,0.5,7,7,40,146,10000,False,100.0,100.0
